672.000000, 207.513062,9
672.000000, -63.090668,22
672.000000, 16.590668,33
672.000000, 183.171539,35
672.000000, -223.716522,37
672.000000, 99.700623,46
672.000000, -49.055206,81
672.000000, -175.213974,92
672.000000, -153.098083,96
672.000000, 188.906067,99
672.000000, 11.176971,111
672.000000, 299.866394,120
672.000000, -256.940460,121
672.000000, -208.197296,126
672.000000, -216.979492,128
672.000000, 97.555237,130
672.000000, -237.230652,144
672.000000, -3.179291,151
672.000000, -152.496552,158
672.000000, 5.663055,165
672.000000, -235.225586,182
672.000000, -16.974152,187
672.000000, 256.777527,190
672.000000, -186.001221,198
672.000000, 235.644104,208
672.000000, 48.531342,212
672.000000, -146.000153,221
672.000000, 40.992340,238
672.000000, 205.969116,268
672.000000, 16.490387,279
672.000000, -55.110504,315
672.000000, -72.875381,322
672.000000, 5.602905,336
